,gdp,life,bc,healthspend,teen,matdeath,wifehealth,hushealth,bothhealth,eduspend,noschool,malenoschool,malelit,malesomeschool,femalelit,bach,fembach,abuse,legis
165,21665.115454,79.2341463415,,5.39951166601,17.9326,9.0,,,,4.89465999603,,,,,,,,,32.9258806577
166,19495.1459334,79.6341463415,,5.42099865977,17.4258,8.0,,,,,,,,,,,,,32.136024982
167,20059.4520721,79.9365853659,70.8,5.62066014499,16.919,8.0,,,,,,,,,,,,,32.4296501405
168,23440.0053222,80.2390243902,,5.50612733998,16.9552,8.0,,,,,,,,,,,,,33.0296906391
169,30440.8548786,80.4902439024,,5.72489888888,16.9914,7.0,,,,,,,,90.44699,,30.8231,32.5626,,34.0801089784
170,33982.9504272,80.8414634146,72.3,5.66144848354,17.0276,7.0,,,,4.91266012192,,,,91.45807,,31.69099,33.12775,,35.0459047929
171,36084.8589777,81.0414634146,,5.66088659129,17.0638,7.0,,,,4.74493980408,,,,91.51249,,33.01255,35.34354,,35.120246191
172,40957.8304392,81.2926829268,,5.76587639495,17.1,7.0,,,,4.66115999222,,,,91.98195,,33.74059,36.05375,,35.3423131517
173,49628.115127,81.3951219512,,5.92763100804,16.7854,7.0,,,,4.63529014587,,,,92.65324,,35.81874,38.91982,,36.7210807447
174,42715.132262,81.543902439,,6.18655601124,16.4708,7.0,,,,5.09262990952,,,,92.23578,,36.80347,39.76361,,
175,51845.6548606,81.6951219512,,6.12733425339,16.1562,6.0,,,,5.56894016266,0.13187,0.12748,,93.04788,,37.48809,40.85512,,
176,62216.5471294,81.8951219512,,6.31537827787,15.8416,7.0,,,,5.09907007217,,,,93.47212,,38.3591,42.06328,,
177,67646.103853,82.0463414634,,6.28563326865,15.527,6.0,,,,4.8964600563,0.09718,0.0,,94.62242,,41.28002,44.94715,,
178,67652.6832146,82.1487804878,,6.27491713947,14.966,6.0,,,,5.27065992355,,,,91.08495,,20.98663,23.36578,,
179,61995.8296976,82.2512195122,,6.31659265831,14.405,6.0,,,,,,,,91.53211,,19.62161,21.68817,,
180,24517.267446,78.1268292683,,7.5363665256,13.9232,5.0,,,,5.59956979752,,,,,,,,,30.0834466267
181,24489.7355313,78.5756097561,,7.50331422713,13.6346,5.0,,,,5.58634996414,,,,,,,,,30.0509819206
182,26351.375677,78.6780487805,,7.60650834821,13.346,5.0,,,,5.53268003464,,,,,,,,,29.249133639
183,32102.9305524,78.6317073171,,7.73647976223,12.902,5.0,,,,5.38186979294,,,,,,,,,27.3755925881
184,36693.4026205,79.1804878049,,7.79133645949,12.458,4.0,,,,5.3209400177,,,,,,,,,26.2948782291
185,38242.0425175,79.3317073171,,7.83141883027,12.014,5.0,,,,5.27149009705,,,,,,,,,26.8202414707
186,40430.9936145,79.8804878049,,7.73793278646,11.57,4.0,,,,5.25293016434,,,,,,,,,27.9184054997
187,46586.6502529,80.1804878049,,7.77580259182,11.126,4.0,,,,5.17663002014,,,,,,,,,26.1601210854
188,51386.3766512,80.4317073171,,7.99585688891,10.6138,4.0,,,,5.29698991776,,,,,,,,,28.1228665944
189,47654.1872091,80.3317073171,69.6,8.46612960853,10.1016,4.0,,,,5.76740980148,,,,,,,,,27.3484327568
190,46659.8408181,80.5804878049,,8.40000694654,9.5894,4.0,,,,5.72501993179,,,,,,,,,28.9179808812
191,51123.5613292,80.9829268293,,8.21367472312,9.0772,4.0,,,,5.61943006516,,,,,,,,,27.2030643711
192,48324.2540368,80.9365853659,,8.4171895618,8.565,4.0,,,,5.45335006714,,,,,,,,,
193,50557.803806,81.1365853659,,8.37061343691,7.972,4.0,,,,5.56483983994,,,,,,,,,
194,51148.3588761,81.3365853659,,8.72502571999,7.379,4.0,,,,,,,,99.20062,,1.62806,1.73315,3.0,
195,655.097432603,66.7582439024,55.1,0.866892751051,37.1604,48.0,,,,3.85399007797,,,,,,,,,
196,703.67125044,67.1502926829,55.4,0.846501129775,35.7502,43.0,,,,3.50342011452,,,,,,,,,
197,763.10121222,67.5610731707,,0.791817882856,34.34,38.0,,,,3.15448999405,,,,,,,,,
198,883.614008968,68.0036829268,,0.829677969977,37.0942,38.0,,,,3.28614997864,,,,,,,,,15.1271762415
199,1045.02641528,68.470195122,,1.02867003552,39.8484,32.0,,,,3.44765996933,,,,,,,,,47.5308607817
200,1578.36733031,68.9372682927,,0.88090537488,42.6026,34.0,,,,2.97462010384,,,,,,,,,47.6588634843
201,2473.08577637,69.3752439024,51.1,0.864184359644,45.3568,30.0,20.1,21.7,52.0,2.5555100441,,,,,,,,10.2,15.8759122817
202,3851.43786871,69.7565121951,,0.980253879063,48.111,29.0,,,,2.54927992821,1.33262,0.76835,99.8239974976,95.69723,99.3978805542,14.88226,11.54207,,5.19230778401
203,5574.60380219,70.0639512195,,0.824675486228,49.2276,28.0,,,,2.44092988968,1.33066,0.75819,,95.74641,,13.93961,10.79528,,7.12788268551
204,4950.29479142,70.2936829268,,1.33896972043,50.3442,27.0,,,,3.22430992126,1.62019,0.86993,99.842666626,97.38601,99.6821517944,25.05772,22.94918,,
205,5842.80578359,70.4513170732,,1.16802072348,51.4608,27.0,,,,2.78062009811,1.55034,0.81175,99.8544387817,97.45334,99.6926269531,25.22589,23.46016,,
206,7189.69122921,70.551804878,54.9,1.08098767355,52.5774,26.0,,,,2.43564009666,1.55184,0.81831,99.8566589355,97.44037,99.7049636841,25.27255,23.5409,,
207,7393.77187698,70.6239512195,,1.21059659425,53.694,25.0,,,,2.0962998867,1.53337,0.79398,99.8528518677,97.4706,99.7028579712,25.33678,23.57732,,
208,7811.62141846,70.6905853659,,1.15018390461,56.1272,25.0,,,,2.46217989922,1.47831,0.75861,99.8659210205,97.49217,99.7168197632,,,,
209,7886.45914367,70.7632195122,,1.23096747895,58.5604,26.0,,,,,1.46234,0.75134,99.8620071411,97.5231,99.7196578979,,,,
210,21241.1653927,72.2542926829,,2.50254758667,51.1554,61.0,,,,2.84998989105,1.38992,1.72171,,88.17584,,0.33939,0.32778,,
211,21497.3081567,72.545097561,44.6,2.46689595361,47.5732,64.0,,,,,,,,,,,,,39.93644259
212,22505.4047935,72.8412682927,,2.51066542835,43.991,67.0,,,,,,,,,,,,,40.4340545849
213,22008.4337006,73.1272926829,,2.64788611611,43.0758,71.0,,,,,,,,,,,,,40.3733974487
214,21995.5199216,73.3946585366,,2.88043563399,42.1606,71.0,,,,,,,,,,,,,42.8004774046
215,23405.8795479,73.6388780488,,2.642189647,41.2454,74.0,,,,,,,,,,,,,45.7892646532
216,23721.1562801,73.8584634146,,3.27260209986,40.3302,78.0,,,,,,,,,,,,,41.3864127393
217,24306.1424243,74.0594634146,,3.18150170993,39.415,78.0,,,,,,,,,,,,,43.242435622
218,23657.3653062,74.2474390244,,3.35487743523,38.368,82.0,,,,,,,,,,,,,46.3430229204
219,22043.0125712,74.423902439,,3.52652414862,37.321,80.0,,,,,,,,,,,,,44.4137934981
220,21920.5165868,74.5923902439,,3.46081550387,36.274,85.0,,,,,2.07658,2.19176,,89.09677,,10.95313,12.96054,,
221,21514.8986532,74.7544146341,,3.57505624229,35.227,86.0,,,,,,,,,,,,,51.641459553
222,22112.6083547,74.9144634146,,3.29824927348,34.18,82.0,,,,,,,,,,,,,
223,22315.6036534,75.0735365854,,3.07695572007,32.353,81.0,,,,,,,,,,,,,
224,22217.4941392,75.2336585366,,3.55067269628,30.526,83.0,,,,,,,,,,,,,
225,13590.5210501,74.5994878049,,2.3624177605,17.476,21.0,,,,,,,,,,,,,
226,12917.3955023,74.7818292683,,2.532878513,17.209,21.0,,,,,12.85667,6.36535,88.554107666,74.69296,83.5574188232,11.21297,11.94084,,12.3185968016
227,13279.0457951,74.9540731707,,2.58432320275,16.942,21.0,,,,,,,,,,,,,
228,14541.6160485,75.1177073171,,2.50112364914,16.4902,20.0,,,,,,,,,,,,,
229,16275.1804236,75.2732195122,,2.26780958639,16.0384,20.0,,,,,,,,,,,,,10.5882345399
230,18418.0726744,75.4221463415,,2.15652223344,15.5866,20.0,,,,,,,,,,,,,
231,19669.3195546,75.5664634146,,2.12525065632,15.1348,19.0,,,,2.87436008453,,,,,,,,,
232,21167.6187062,75.7077560976,,2.18456724553,14.683,18.0,,,,2.57500004768,,,,,,,,,
233,23043.0253174,75.8475121951,,2.31305803662,14.5034,17.0,,,,2.49677991867,,,,,,,,,
234,19166.7082382,75.9877804878,,2.74844437915,14.3238,17.0,,,,,,,,,,,,,
235,20386.0175551,76.1275609756,,2.59337939062,14.1442,16.0,,,,,6.27459,4.3373,96.1402282715,54.00999,91.6125793457,8.47425,9.98245,,
236,22238.7119502,76.2678536585,,2.38353275505,13.9646,16.0,,,,,,,,,,,,,
237,23063.132287,76.4076341463,,2.76266224209,13.785,16.0,,,,2.64470005035,,,,,,,,,
238,24378.9448284,76.5459512195,,3.01599439505,13.6638,15.0,,,,,,,,,,,,,
239,24855.215635,76.6832682927,,3.15050029668,13.5426,15.0,,,,,,,,,,,,,
240,406.531740491,65.3479756098,54.3,0.946712406941,112.3716,399.0,,,,2.12507009506,,,,,,,,,
241,403.594546214,65.9301707317,,1.02492646101,109.2808,384.0,,,,2.17193007469,50.98008,45.44885,53.8960914612,31.30774,40.823348999,4.20865,3.48744,,
242,401.708153328,66.4781707317,,1.06780982677,106.19,365.0,,,,2.01714992523,,,,,,,,30.2,
243,434.046563233,67.0001463415,,0.97554807146,103.6674,349.0,,,,2.0694000721,,,,,,,,,23.3894370284
244,462.274879845,67.497195122,58.5,1.0420671844,101.1448,333.0,17.8,48.1,23.6,1.94014000893,,,,,,,,,
245,485.852888073,67.9718536585,,0.966800141558,98.6222,319.0,,,,,,,,,,,,,
246,495.853780201,68.4256341463,,1.03883018628,96.0996,303.0,,,,2.13128995895,,,,,,,,,
247,543.082263122,68.8599756098,55.8,0.987683697897,93.577,288.0,13.8,32.3,42.0,2.20221996307,,,,,,,,23.9,
248,618.075883559,69.2778536585,52.64,0.953752468656,91.9356,273.0,,,,2.05456995964,,,,,,,,,
249,683.614422272,69.6837804878,,0.991099631097,90.2942,258.0,,,,1.93941998482,,,,,,,,,
250,760.3319352,70.0802926829,,1.05017299005,88.6528,242.0,,,,,,,,,,,,,
251,838.547801702,70.4719512195,61.2,1.04109010272,87.0114,228.0,12.9,30.6,50.1,,,,,,,,,50.7,5.38618993644
252,858.933362588,70.8602682927,,0.984483722239,85.37,214.0,,,,2.04579997063,,,,,,,,,
253,954.396399716,71.2452439024,61.8,0.810323955737,84.43,201.0,,,,1.96616995335,,,,,,,,,
254,1086.80008677,71.625902439,62.4,0.786532509304,83.49,188.0,14.1,29.2,50.7,,,,63.9432907104,,57.1725502014,,,,
255,11568.0519423,73.2195121951,,3.39205000827,50.2788,48.0,,,,4.62166976929,0.0,0.0,,77.45673,,1.05656,1.14138,,35.0515480642
256,11513.3401801,73.3839268293,,3.69664401651,49.6954,46.0,,,,5.935090065,,,,,,,,,41.2844051146
257,11674.9361829,73.5463170732,,3.96299038813,49.112,46.0,,,,5.76362991333,,,,,,,,,42.1568654034
258,12028.8987405,73.7071707317,,3.84327810658,48.8638,46.0,,,,6.12156009674,,,,,,,,,44.897959283
259,12869.3365948,73.8680243902,,3.71807147637,48.6156,47.0,,,,5.90380001068,,,,,,,,,43.4426251934
260,14223.777704,74.0303414634,,3.46327899707,48.3674,40.0,,,,5.55672979355,,,,,,,,,
